"business_id","name","address","city","state","postal_code","latitude","longitude","phone_number"
"PR0000206","JOSYLN SENIOR CENTER","210 N CHAPEL AVE ","ALHAMBRA","CA","91801","34.0985255114","-118.1247669704","626-960-2995"
"PR0000213","STARBUCKS COFFEE #9685","145 N CITRUS AVE ","COVINA","CA","91723","34.0873269216","-117.8904601570",""
"PR0000250","VFW POST NO. 6110","16555 SIERRA HWY ","CANYON COUNTRY","CA","91351-1338","34.4475665285","-118.4262071069","661-252-9989"
"PR0000273","STABUCKS @ VONS #2066","18439 VENTURA BLVD ","TARZANA","CA","91356","34.1683814142","-118.5345700102",""
"PR0000278","COCOHODO TORRANCE","2734 SEPULVEDA BLVD ","TORRANCE","CA","90505","33.8224875707","-118.3331781785","310-530-3875"
"PR0000307","KING'S BAKERY","127 N GARFIELD AVE STE J","MONTEREY PARK","CA","91754","34.0633278558","-118.1236860085",""
"PR0000335","4 SEASONS HOTEL-THE BAR","2 DOLE DR","WESTLAKE VILLAGE","CA","91362","34.1513684739","-118.8045058003",""
"PR0000462","TERRACE CINEMAS 6","28901 S WESTERN AVE ","RANCHO PALOS VERDES","CA","90275","33.7563535559","-118.3103981765","310-831-1919"
"PR0000527","VONS-STARBUCKS #1638","4226 WOODRUFF AVE ","LAKEWOOD","CA","90713","33.8351752270","-118.1154323770",""
"PR0000572","BASKIN ROBBINS","6700 LAUREL CANYON BLVD ","NORTH HOLLYWOOD","CA","91606","34.1923196409","-118.3963143400",""
"PR0000592","STARBUCKS COFFEE #5348","2100 S ATLANTIC BLVD ","MONTEREY PARK","CA","91754","34.0383473155","-118.1444997144",""
"PR0000665","VONS STARBUCKS #2001","5671 KANAN RD ","AGOURA HILLS","CA","91301","34.1533988561","-118.7575430179",""
"PR0000848","ICEE MIX IT UP","111 RAGING WATERS DR ","SAN DIMAS","CA","91773-3928","34.0955625255","-117.8100137319",""
"PR0000870","LAS TORRES","11717 1/2 VICTORY BLVD","NORTH HOLLYWOOD","CA","91606","34.1868282494","-118.3883760470",""
"PR0000907","EARTH BAR EQUINOX ENCINO","16830 VENTURA BLVD # #165","ENCINO","CA","91436","34.1589139652","-118.4997867110","310-717-9002"
"PR0001079","BAR 20-CLUBHOUSE","285 W HUNTINGTON DR ","ARCADIA","CA","91007","34.1397131452","-118.0453041705",""
"PR0001109","ST. BARNABAS SENIOR CENTER OF LA","675 S CARONDELET ST ","LOS ANGELES","CA","90057","34.0592668563","-118.2812343248","213-388-4444"
"PR0001112","COFFEE BEAN & TEA LEAF","6600 TOPANGA CANYON BLVD UNIT 9220","CANOGA PARK","CA","91303","34.1900772000","-118.6042674000",""
"PR0001205","SIERRA MADRE PARK (HEASLEY)","611 E SIERRA MADRE BLVD ","SIERRA MADRE","CA","91024","34.1645375531","-118.0399776758","626-355-5293"
"PR0001207","STARBUCKS COFFEE #2989","11809 ARTESIA BLVD ","ARTESIA","CA","90701","33.8741949805","-118.0819074076",""
"PR0001209","COCO FRESH TEA & JUICE","11301 W OLYMPIC BLVD STE 105","LOS ANGELES","CA","90064","34.0381854972","-118.4418113550","626-319-5570"
"PR0001212","BOTTOM LINE","2066 W MANCHESTER AVE ","LOS ANGELES","CA","90047","33.9598016561","-118.3156364229",""
"PR0001240","BM-TRY WASHING ROOM","735 E 12TH ST # 415","LOS ANGELES","CA","90021","34.0332461190","-118.2523066047","213-746-6633"
"PR0001350","STARBUCKS #13222","800 W OLYMPIC BLVD STE 102","LOS ANGELES","CA","90015","34.0448376046","-118.2645272878","213-748-1009"
"PR0001391","STARBUCKS COFFEE CO","131 S BARRINGTON AVE ","LOS ANGELES","CA","90049","34.0663961570","-118.4693301964",""
"PR0001417","RAJI'S","5851 W SUNSET BLVD ","LOS ANGELES","CA","90028","34.0982144293","-118.3174693522",""
"PR0001609","STUB HUB CENTER ACE'S COURT #17","18400 AVALON BLVD STE 300","CARSON","CA","90746-2182","33.8660141335","-118.2647396389",""
"PR0001669","TARGET STORES #222 - STARBUCKS","17751 E COLIMA RD","INDUSTRY","CA","91748","33.9915624633","-117.9186440414",""
"PR0001671","TIKI TI","4427 W SUNSET BLVD ","LOS ANGELES","CA","90027","34.0974700548","-118.2857355068",""
"PR0001688","REGAL ENTERTAINMENT GROUP","1919 W VERDUGO BLVD ","LA CANADA FLINTRIDGE","CA","91011","34.2065455656","-118.2170008170",""
"PR0001711","STARBUCKS COFFEE #9456","17272 SATICOY ST ","VAN NUYS","CA","91406","34.2082853742","-118.5091910152",""
"PR0001921","STAND 16 & BAR 9","285 W HUNTINGTON DR ","ARCADIA","CA","91007","34.1397131452","-118.0453041705",""
"PR0001936","JUICE CRAFTERS","11682 SAN VICENTE BLVD ","LOS ANGELES","CA","90049","34.0535987533","-118.4646376034","310-900-9549"
"PR0001961","WESTFIELD TOPANGA PLAZA SCUL","6600 TOPANGA CANYON BLVD ","CANOGA PARK","CA","91303","34.1900241162","-118.6056471708",""
"PR0002000","MAINGATE POPCORN","26101 MAGIC MOUNTAIN PKWY","VALENCIA","CA","91355","34.4306095027","-118.6034335649","661-255-4100"
"PR0002030","COFFEE BEAN&TEA LEAF-RALPHS","2675 FOOTHILL BLVD ","LA CRESCENTA","CA","91214","34.2228691574","-118.2371790057","818-249-5448"
"PR0002035","STARBUCKS COFFEE #518","46 PENINSULA CTR STE A","ROLLING HILLS ESTATES","CA","90274","33.7747246459","-118.3756779299",""
"PR0002040","SHOOTERS BAR AND BILLIARDS I","24450 1/2 LYONS AVE","NEWHALL","CA","91321","34.3781331891","-118.5628113932",""
"PR0002239","ALEX THEATRE","216 N BRAND BLVD ","GLENDALE","CA","91203","34.1487912009","-118.2545659411","818-243-2611"
"PR0002248","DIPPIN DOTS-UNIT #20","111 RAGING WATERS DR ","SAN DIMAS","CA","91773-3928","34.0955625255","-117.8100137319",""
"PR0002255","STARBUCKS #5341","20516 DEVONSHIRE ST # #B","CHATSWORTH","CA","91311","34.2572325619","-118.5802994489",""
"PR0002310","EDIBLE ARRANGEMENTS","10814 JEFFERSON BLVD STE STE H","CULVER CITY","CA","90230","34.0005766214","-118.3940948130","310-202-6510"
"PR0002351","AZUSA NATIONAL LITTLE LEAGUE","533 N ROCKVALE AVE","AZUSA","CA","91702","34.1304452709","-117.8963978697",""
"PR0002352","GET SHAVED","1790 W CARSON ST ","TORRANCE","CA","90501","33.8312562278","-118.3111487753",""
"PR0002402","COLDSTONE CREAMERY","3730 S FIGUEROA ST ","LOS ANGELES","CA","90007","34.0173584603","-118.2825757343","213-747-2744"
"PR0002517","NOMAD LOUNGE","939 S FIGUEROA ST","LOS ANGELES","CA","90015","34.0453835652","-118.2638860198","213-627-8971"
"PR0002526","ALTA-MED SENIOR CENTER","5425 E POMONA BLVD ","LOS ANGELES","CA","90022","34.0335693339","-118.1488328748","323-728-0411"
"PR0002616","STARBUCKS COFFEE #537","733 W NAOMI AVE STE #B","ARCADIA","CA","91007","34.1238768208","-118.0564217202",""
"PR0002620","STARBUCKS COFFEE #14154","14828 HAWTHORNE BLVD ","LAWNDALE","CA","90260","33.8966877792","-118.3520569052","310-973-4079"
"PR0002634","LA COPA DE ORO","9624 LONG BEACH BLVD ","SOUTH GATE","CA","90280","33.9484677006","-118.2169524122",""
"PR0002659","ELABREW COFFEE","2425 COLORADO AVE # B118","SANTA MONICA","CA","90404","34.0293379289","-118.4728580088","310-453-8600"
"PR0002710","STARBUCKS / TARGET T2774","10861 WEYBURN AVE ","LOS ANGELES","CA","90024","34.0624740663","-118.4434385914","310-893-2360"
"PR0002775","EDIBLE ARRANGEMENTS","1324 WILSHIRE BLVD","SANTA MONICA","CA","90403","34.0263604040","-118.4891808288","310-656-0103"
"PR0002788","STARBUCKS COFFEE #649","475 FOOTHILL BLVD STE M","LA CANADA FLINTRIDGE","CA","91011","34.1997911095","-118.1886114052",""
"PR0002796","STARBUCKS","820 MONTANA AVE ","SANTA MONICA","CA","90403","34.0278145429","-118.4997996873",""
"PR0002857","LANDMARK NUART THEATRE","11272 SANTA MONICA BLVD ","LOS ANGELES","CA","90025","34.0464145603","-118.4479583604",""
"PR0002887","STARBUCKS COFFEE #578","12751 TOWN CENTER DR N N-13","ARTESIA","CA","90701","33.8709804000","-118.0593923000",""
"PR0002908","STARBUCKS COFFEE #14629","8000 W SUNSET BLVD STE B110","LOS ANGELES","CA","90046","34.0978300776","-118.3646557665",""
"PR0003062","EDIBLE ARRANGEMENTS","3358 W CENTURY BLVD ","INGLEWOOD","CA","90303","33.9453433366","-118.3303307600","310-677-2200"
"PR0003091","DUFF'S CAKE MIX/CHARM CITY CAKES WEST","8300 MELROSE AVE ","LOS ANGELES","CA","90069","34.0835567615","-118.3703065488","310-749-9710"
"PR0003105","CLUB LIDO","10143 S ATLANTIC AVE ","SOUTH GATE","CA","90280","33.9393515712","-118.1819529923",""
"PR0003133","RALPHS #166 STARBUCKS","2700 N SEPULVEDA BLVD ","MANHATTAN BEACH","CA","90266","33.8959381784","-118.3944393433","310-546-2472"
"PR0003152","REGENCY THEATRES","29045 AGOURA RD ","AGOURA HILLS","CA","91301","34.1443277719","-118.7567769152",""
"PR0003178","ROSEWOOD PUB","10074 E ROSECRANS AVE ","BELLFLOWER","CA","90706","33.9018812426","-118.1186843369",""
"PR0003203","AMC CENTURY CITY 15 LEVEL 3","10250 SANTA MONICA BLVD # 2000","LOS ANGELES","CA","90067","34.0600359119","-118.4198835462",""
"PR0003273","KNIGHTS OF COLOMBUS","8049 W MANCHESTER AVE ","PLAYA DEL REY","CA","90293","33.9592874029","-118.4370272805",""
"PR0003280","STARBUCKS COFFEE","206 N LARCHMONT BLVD ","LOS ANGELES","CA","90004","34.0748800167","-118.3234326592","323-469-1081"
"PR0003337","SANTA MONICA PONY LEAGUE","501 HOLLISTER AVE ","SANTA MONICA","CA","90405","34.0065687838","-118.4826073155",""
"PR0003340","BASKIN ROBBINS #6409","7938 E FLORENCE AVE # #11A","DOWNEY","CA","90240","33.9538199744","-118.1306415087",""
"PR0003383","STARBUCKS COFFEE #643","16461 VENTURA BLVD ","ENCINO","CA","91436","34.1577225010","-118.4919855194","818-906-3961"
"PR0003451","STARBUCKS","400 WORLD WAY ","LOS ANGELES","CA","90045","33.9422897983","-118.4070822808","310-646-3472"
"PR0003462","TARGET-STARBUCKS COFFEE","20700 S AVALON BLVD STE 750","CARSON","CA","90746","33.8440006259","-118.2621365988",""
"PR0003480","MAHALE KIOSK","5333 ZOO DR ","LOS ANGELES","CA","90027","34.1483378363","-118.2847825966","323-644-6039"
"PR0003484","VFW #7243","12064 CENTRALIA RD ","HAWAIIAN GARDENS","CA","90716","33.8385375826","-118.0743485901",""
"PR0003588","EL PARAISO","1700 E FIRESTONE BLVD ","LOS ANGELES","CA","90001","33.9599484561","-118.2429329536","323-582-6671"
"PR0003810","STARBUCKS COFFEE #10586","1090 WILSHIRE BLVD ","LOS ANGELES","CA","90017","34.0520582324","-118.2632830371",""
"PR0003830","REDWOOD ROOM","4533 1/2 SLAUSON AVE ","MAYWOOD","CA","90270","33.9873066810","-118.1841989526",""
"PR0003831","STARBUCKS COFFEE#14211","8844 S SEPULVEDA BLVD ","LOS ANGELES","CA","90045","33.9560686798","-118.3959593971",""
"PR0003853","STARBUCKS #5627","19500 PLUMMER ST UNIT F4","NORTHRIDGE","CA","91324","34.2425956317","-118.5584586016",""
"PR0003863","BASKIN ROBBINS 31 FLAVORS","4066 VICTORIA AVE","LOS ANGELES","CA","90008","34.0134387209","-118.3380440889",""
"PR0003865","VONS(STARBUCKS#74511) #3517","24325 CRENSHAW BLVD ","TORRANCE","CA","90503","33.8051469182","-118.3302105070",""
"PR0003877","AMC CAFE","21801 OXNARD ST # #A","WOODLAND HILLS","CA","91367","34.1793177982","-118.6031893659",""
"PR0003906","STARBUCKS COFFEE CO","16280 S PARAMOUNT BLVD STE C","PARAMOUNT","CA","90723","33.8863859687","-118.1598852045",""
"PR0003940","ARCLIGHT HOLLYWOOD","6360 W SUNSET BLVD ","LOS ANGELES","CA","90028","34.0977399997","-118.3278199997","323-464-1465"
"PR0004101","PEET'S COFFEE & TEA CO #321","1154 WESTWOOD BLVD ","LOS ANGELES","CA","90024","34.0598612769","-118.4445807681",""
"PR0004123","LOTUS LOUNGE","1135 N VERMONT AVE ","LOS ANGELES","CA","90029","34.0918724612","-118.2919302894",""
"PR0004132","HELADOS LA MICHOACANA","10933 VALLEY MALL #4","EL MONTE","CA","91731","34.0747746496","-118.0365220721",""
"PR0004166","MEMORIAL WEST ALUMNI","835 E 33RD ST ","SIGNAL HILL","CA","90755","33.8172217473","-118.1820610121","562-426-2628"
"PR0004336","STARBUCKS COFFEE #9411","335 E ALBERTONI ST STE 100","CARSON","CA","90746","33.8719034988","-118.2701543124",""
"PR0004384","SENIOR NUTRITION PROGRAM","21815 S PIONEER BLVD ","HAWAIIAN GARDENS","CA","90716","33.8277325966","-118.0821718580","562-420-2641"
"PR0004434","EDWARDS WEST COVINA 18  1","1200 LAKES DR ","WEST COVINA","CA","91790","34.0713244334","-117.9225609791",""
"PR0004476","GRANNY'S YOGURT","316 N WESTERN AVE STE STE C","SAN PEDRO","CA","90732","33.7465236548","-118.3094192238","310-514-2737"
"PR0004501","STARBUCKS COFFEE","2560 GLENDALE BLVD ","LOS ANGELES","CA","90039","34.1038681061","-118.2590058449",""
